width,length,weight
3.8352,22.0,169.0
1.2558,12.1,12.2
6.018,30.5,514.0
4.3056,24.0,290.0
3.1234,16.8,78.0
2.673,16.3,90.0
3.977,36.0,345.0
2.9415,15.7,70.0
1.408,7.5,5.9
3.555,19.0,110.0
5.1373,25.2,300.0
3.723,22.0,225.0
6.7473,37.4,975.0
5.1338,30.9,610.0
7.1064,36.9,850.0
3.525,20.0,120.0
2.9181,17.5,120.0
3.6636,21.2,200.0
4.02,23.2,242.0
3.825,22.0,145.0
6.5736,33.7,800.0
3.3957,19.1,110.0
5.5695,31.3,575.0
7.48,59.0,1650.0
7.4624,37.0,1015.0
5.8515,32.7,714.0
4.69,27.6,390.0
5.1708,29.4,600.0
4.5662,25.4,250.0
7.5958,41.1,1000.0
2.8217,16.5,69.0
2.3142,14.3,60.0
3.8203,20.5,160.0
6.292,35.0,955.0
7.4934,36.5,900.0
7.3514,36.6,820.0
4.2042,25.9,250.0
4.158,31.7,300.0
3.0502,17.2,80.0
4.335,25.4,260.0
6.3666,34.6,690.0
6.9849,52.0,1250.0
6.7497,36.2,925.0
3.8,21.1,160.0
4.6961,23.9,340.0
2.3265,13.5,55.0
3.3216,16.2,100.0
6.09,32.0,720.0
6.562,28.5,540.0
2.432,13.8,40.0
6.144,56.0,1600.0
3.0368,17.8,85.0
4.1658,22.6,188.0
3.4104,19.0,170.0
7.4165,40.1,1100.0
4.234,24.0,300.0
6.3875,32.0,556.0
5.589,31.9,700.0
1.1659,11.3,9.9
5.0728,29.5,340.0
4.6354,26.9,300.0
6.525,37.3,1000.0
4.87,43.2,567.0
4.0198,34.8,300.0
4.368,29.1,500.0
4.3225,40.0,456.0
3.63,20.7,145.0
3.4075,20.0,120.0
4.5765,35.5,430.0
4.4555,26.3,363.0
3.2944,19.0,140.0
4.9594,28.5,500.0
4.6816,25.6,306.0
5.355,29.5,390.0
1.3936,11.5,12.2
3.6312,22.0,161.0
5.2854,30.4,700.0
3.7544,20.4,150.0
1.2852,10.8,8.7
6.1712,48.3,950.0
1.2838,11.3,10.0
4.144,25.0,218.0
6.864,34.0,685.0
4.2485,24.1,270.0
5.134,26.5,430.0
3.906,23.6,180.0
6.2646,34.5,700.0
3.5478,20.5,145.0
6.3063,35.0,920.0
6.003,36.5,650.0
1.9992,12.5,32.0
4.8146,28.7,500.0
2.772,18.2,85.0
6.0532,31.8,725.0
3.5742,18.6,120.0
1.1484,10.1,7.0
4.459,40.0,510.0
4.2476,23.6,270.0
3.325,21.0,140.0
6.63,37.1,820.0
7.225,37.0,900.0
3.995,20.0,110.0
3.624,20.5,130.0
6.144,56.0,1550.0
3.6675,19.0,125.0
1.1484,11.4,9.8
6.603,33.5,1000.0
1.8792,13.8,19.9
1.269,11.7,13.4
3.525,20.0,135.0
5.1296,40.1,540.0
3.1571,19.8,145.0
5.2801,31.5,620.0
4.144,23.0,273.0
4.3844,32.7,300.0
3.725,21.5,170.0
6.1984,32.8,850.0
1.0476,9.3,6.7
1.2772,10.7,9.8
