width,length,weight
2.268,12.9,40.0
4.1272,22.1,200.0
4.335,25.4,265.0
1.38,10.4,9.7
5.376,44.8,770.0
3.2943,19.4,120.0
2.9044,17.5,78.0
6.8684,39.0,1100.0
2.6316,15.0,51.5
5.2785,26.8,500.0
3.3756,30.0,200.0
3.3516,19.0,0.0
3.624,20.5,150.0
4.896,42.0,500.0
3.6835,23.0,180.0
6.7408,34.0,700.0
2.0672,13.2,19.7
3.525,20.0,130.0
1.16,10.0,7.5
5.7276,31.0,650.0
7.7957,32.5,840.0
5.1042,28.4,475.0
5.3704,31.4,685.0
6.3705,38.0,950.0
4.7736,25.0,272.0
6.1306,31.8,680.0
3.534,19.3,130.0
4.9274,26.8,450.0
5.1975,30.4,700.0
7.2772,39.8,1000.0
4.8438,27.6,450.0
8.142,40.2,1000.0
3.3075,19.0,115.0
3.2928,18.4,150.0
4.7716,27.8,320.0
4.239,23.5,197.0
5.58,29.4,600.0
3.1746,18.2,87.0
4.4968,24.0,290.0
3.626,21.0,150.0
